EAN	COD. INVENTARIO	COD. COMERCIAL	DESCRIPCION	EAN	EMPRESA	MARCA	MERCADO	NEGOCIO	CATEGORIA CALIDAD	TIPO FABRICACION	TIPO MERCADO
07796962911074	21-N007AR	9121-N007AR	NOTEBOOK COMPAQ PRESARIO CORE I7	07796962911074	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
04210201163596	21B	9421B	Repuesto 3000 Series	04210201163596	NEW SAN S.A.	BRAUN	RETAIL	CUIDADO MASCULINO	PRIMERA	CBU	PROPIA
07798083382078	21FS7RLL3	9121FS7RLL3	TV 21" FLAT SLIM  STEREO LG	07798083382078	NEW SAN S.A.	LG	LG RETAIL	DISPLAYS	PRIMERA	CKD	CORPORATIVO
07796962920038	21N0F3AR	9121N0F3AR	NOTEBOOK COMPAQ PRESARIO 21N0F3AR	07796962920038	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
00888182457184	21N001AU	9421N001AU	NOTEBOOK COMPAQ AMD 21-N001AU	00888182457184	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CBU	PROPIA
07796962211303	21N1F3AR	9121N1F3AR	NOTEBOOK COMPAQ PRESARIO 21N1F3AR	07796962211303	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962211501	21N1F5AR	9121N1F5AR	NOTEBOOK COMPAQ PRESARIO 21N1F5AR	07796962211501	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962211709	21N1F7AR	9121N1F7AR	NOTEBOOK COMPAQ PRESARIO 21N1F7AR	07796962211709	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962212300	21N2F3AR	9121N2F3AR	NOTEBOOK COMPAQ PRESARIO 21N2F3AR	07796962212300	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962212508	21N2F5AR	9121N2F5AR	NOTEBOOK COMPAQ PRESARIO 21N2F5AR	07796962212508	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962212706	21N2F7AR	9121N2F7AR	NOTEBOOK COMPAQ PRESARIO 21N2F7AR	07796962212706	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962212324	21N2H3AR	9121N2H3AR	NOTEBOOK COMPAQ 21N2H3AR CORE I3 WINDOWS 10 FULL HD	07796962212324	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962212522	21N2H5AR	9121N2H5AR	NOTEBOOK COMPAQ 21N2H5AR CORE I5 WINDOWS 10 FULL HD	07796962212522	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962911111	21N011AR	9121N011ARF	COMPAQ PRESARIO CELERON	07796962911111	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	SKD-PCA	SA
07796962210139	21N013AR	9121N013AR	NOTEBOOK COMPAQ PRESARIO 21N013AR	07796962210139	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962210153	21N015AR	9121N015AR	NOTEBOOK COMPAQ PRESARIO 21N015AR	07796962210153	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962211136	21N113AR	9121N113AR	NOTEBOOK COMPAQ PRESARIO 21N113AR	07796962211136	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
